Stories,Category
"
                    Hi everyone, particularly any new members who may be reading. From time
to time, we get contacted by members who are unhappy that they haven’t
received a lot of replies to their posts. Our community champions work
very hard to make sure that all newbies are welcomed when they first
post, and we understand that it’s a big step to post for the first time
on a forum like this, especially if you aren’t feeling great. It’s
important to remember, though, that these forums are a community of real
people, just like you, not a one-on-one support environment like going
to see your psychologist. To get the best out of being here, one of the
best tips we can offer is give support to receive support. Being a good
community member means: participating in different threads (not just
your own), replying to people who have taken the time to reply to you
(even if it’s just to say thank you), and... posting words of emotional
support and encouragement when you see others who are hurting and
reaching out. You don’t have to feel obliged to solve the problems of
others: that’s not what we’re here for. But you can offer empathy and
what you’ve learned from your own life experiences, even if it’s just a
line or two, eg. “I don't know what to say, but I want to give you my
support and tell you I care about what is happening to you and hope life
will get better soon.” Try to develop an interest in the journeys of
others here on the forums. You may be surprised at how good being an
active, caring member here can make you feel. For those of you who have
had good experiences giving support here on the forums, please post in
this thread here and let us know how it has helped you on your journey.
                ",ANXIETY
"
                    Hi I have anxiety and depression it seems that every morning when I wake
up I feel physically sick and no energy and my lower legs ache I feel so
bad it’s an effort to get out of bed and into the shower each morning
just no energy get dressed etc and after that my energy is worse
struggle to eat breakfast and a coffee sitting down to eat I’m so
exhausted my legs feel so week also I have ringing in my ears I was on
one type of antidepressant for many years and 9 weeks ago they switched
me to another the ear ringing started then they also informed me I could
stop the old medication and next day start the new one direct switch as
in the same ssri class of drug since then I haven’t felt myself and the
new medication doesn’t seem to be doing anything not sure if anyone else
has had similar situations like I describe hope to hear from someone
                ",ANXIETY
"
                    Hi there! I'm wondering if anyone has been through anything similar or
has any advice as I feel lost and I've been trying for so long and just
can't get better.I've had health anxiety for many years, however the
last two years I've developed quite bad stomach issues that are chronic
now and never go. Which makes it very hard to live day to day life.I
have gord, chronic constipation, bloating/tightness which literally
never goes away, its so bad to the point where I can't even breathe
properly most of the time, burping, regurgitation, heart palpations,
chest tightness, I get all kinds of weird feelings in my chest and
stomach, abdominal tension, nausea, terrible digestion. I take tablets
for the reflux and try so hard to not get anxious but I feel a bit stuck
in a loop. My stomach problems are always there and I try not to let it
trigger my health anxiety but it's so hard. I've talked to my doctor
about it many times but she can't find anything wrong with me apart from
maybe ibs.It's debilitating and I feel hopeless at this point.
                ",ANXIETY
"
                    Hi, this is my frist time doing this, im not quite sure what to do but,
yeah. Anyway, I had just finished semester 2 and was on a 3 week break,
the first thing i get told when i get home is that my granddads cancer
is back and they won't be a ble to stop it this time and he has 6 months
at most left, so that was a great way to start the holidays, so my mum
went up to Queensland to be with him before his operation to remove
parts of the cancer out of his stomach so they can put a tube in but its
a very dangerous surgery but if they don't put a tube in he can't eat(
he can eat but the amount of cancer in his stomach makes him full really
quickly). So anyway my mums been up in Queensland since about 2 weeks
ago the surgerys been pushed back many times due to complications. So
now we are just waiting. These holidays I've also been to a funeral of
my best friends dad and my great Nan. I havent seen my Mum for like 2
weeks and i know she'll be home soon and shes up there for a reason, so
ive sorta just been stuck in like a blackhole for a bit, And i know i
just dumped alot on everyone and im sorry but i havent told any of my
friends bc i don't wanna seem like im trying to draw attention to myself
or anything and i can't talk to my dad bc my brothers going through alot
at the moment with major anxiety and i know its hard for him to, but
yeah. Im happy to chat to anyone, about anything, i was just hoping to
talk to someone about what i feel and not feel like a burden on anyone,
but ill talk about anything with anyone. Im a Huge AFL fan and love
being creative and drawing
                ",ANXIETY
"
                    Hi thanks for letting me join. I am hoping.g that by being on this forum
that I might learn techniques on managing my health anxiety. I have been
a suffer since I was a child. I find .most days are crippling with
anxiety and the only way I Manage to have a few hours of peace is by
going to work part time in the afternoons. While I am working I have to
completely focus on my client and what their needs are and this means I
have no space in which to panic
                ",ANXIETY
"
                    I’m dealing with a lot of anxiety lately I’m in a constant state of fear
and I have feelings of doom all of the time I can’t sleep and I’m barely
hanging on everything just feels so over whelming and I feel like I have
no one to talk to that understands
                ",ANXIETY
"
                    Hi, I’m wondering if I should go back onto an SSRI to control my rampant
generalised anxiety. It’s intensified about an accident last year. I’m
working hard on meditation and mindfulness, exercise and diet. I’m not
sure I’m winning!
                ",ANXIETY
"
                    Hello Everyone. Long time no talk. I am struggling with anxiety again. I
currently work 3 days a week. The pay is good but I have this feeling in
me that I should be working 5 days a week as I feel bad for my husband.
I know in my heart that I can't handle 5 days a week but my mind is not
helping. My middle daughter left her stable job as she wasn't happy and
now cannot find another job. She has less then $100 left in her bank
account and she is struggling mentally as well and I don't know how to
help her. My youngest daughter who has a medical condition is not well
at the moment and can't seem to get better so things are pretty tense at
the moment. I had a bit of a light bulb moment the other night in
regards to my mother living with us (which I am not happy with). I
realised that I don't understand why I am obligated to take her in and
care for her when she didn't look after me when I was younger.I just
honestly feel like everyone would be better if I wasn't here with my
issues but I don't know how to fix them. Sorry, I know it might not make
sense I just needed to get it off my chest.
                ",ANXIETY
"
                    A consultant at work was given some chocolates from a patient and left
the clinic without taking them. One of the other doctors working with
the consultant said I should take them home because I don't think she
will want them. A week later the the consultant had been asking around
who took them. The doctor who said I should take them home said she left
them with the nurses and the nurses would keep them safe. A few people
asked me if I knew what happened including the consultant which I lied
and said I didn't know. Ever since, I have had bad anxiety thinking I am
going to get in trouble. I have asked a few friends and family what I
should do and if I should replace them. They have all said to not worry
about it but I can't stop worrying. I might need more or better advice
please.
                ",ANXIETY
"
                    I have this constant feeling of overwhelm and anxiety. Currently
recovering from influenza A. I just want to feel normal again
                ",ANXIETY
