Text,Explanations,Aspect
"""I’m tired of having the generic discussions with mental health professionals and family.""",Tired of having the generic discussions with mental health professionals and family/,2
“I have been having less of the really concerning/harmful thoughts but I am still incredibly low and never don't just want to disappear.”,really concerning/harmful thoughts/ incredibly low/ don't just want to disappear/,3
“I wish I was never born.”,wish I was never born/,3
"“I was eating the cake and she said, that's what you eating, she looked down and back up and said ""no wonder"" and all her popular friends laughed. I just laughed as well and pretended to not care, but as soon as I got home I cried and couldn't stop.”",I cried/ couldn’t stop/,1
“Over the last year my depression has gotten a lot worse and my suicidal thoughts have come back with a vengeance. On top of this I’m feeling more confused and forgetful than normal. My hands are losing strength and I’ve been told it’s caused by my anxiety.”,My hands are losing strength/ anxiety/ suicidal thoughts/ ,1
"""I have told him I need some space away and I am staying with my mum atm.""",Need some space away/ ,2
"""I've had depression and anxiety in the past, and I can feel lately the stress getting me close to that edge.""",depression and anxiety/ stress getting me close to that edge/,1
"“I dislike driving alone and not fond of the idea of going to uni classes not knowing anybody, which cause me to have breakdowns about it. I just want to live peacefully and become finally stable. But i know that it won't happen without having hardships and challenging moment in my life to get there.”",Want to live peacefully and become finally stable/ hardships / challenging moments/,0
“There was just so much stress and expectation placed on study around me that I took a significant dip in both my mental health and my marks.”,So much stress and expectation placed on study around me/ dip in both my mental health and marks/,0
"“I actually want to live and enjoy my life, I believe I just have mild anxiety and fear that sometimes stops me from doing the things i want to do.”",want to live and enjoy my life/ anxiety and fear/,3
"“Anxiety is paralysing me, it feels like life is “not real”, sometimes. Only break I have is when I am able to sleep..tried;1) letting go, surrendering 2) meditation 3) reading about the topic and learning more about it. nothing is working…""",Anxiety is paralysing/ feels like life is not real/ nothing is working/,3
"""I am glad my brain isn't like that, but sometimes I wish I could fit in.""",I wish I could fit in/,2
"“At this stage, I can't see the light at the end of the tunnel and I'm hurting.”",can't see the light at the end of the tunnel/ hurting/,3
“Today again I got bad news regarding my health.”,bad news regarding my health/,1
“I’ve been feeling pretty unhappy recently ”,pretty unhappy recently/,3
"""Every morning when I wake up I feel physically sick and no energy and my lower legs ache.""
",when I wake up I feel physically sick/ no energy/ lower legs ache/,1
"“I am still feeling incredibly low and hopeless, I am not feeling at risk so think I'm judging myself for complaining at all.”",feeling incredibly low and hopeless/ feeling at risk/ judging myself for complaining/,3
"""I'm having a horrible week""",having a horrible week/,3
"""I am a bit of a crybaby in the sense  I let everything bottle up and so when the straw breaks the camel’s back it seems like I cry over small stuff.""",crybaby/ I let everything bottle up/ cry over small stuff/,3
" ""The last few months he has been suicidal and very disconnected from me""",suicidal/ very disconnected/,3
“I feel trapped in a nightmare I can't wake up from.”,trapped in a nightmare/,3
"""She makes me out to friends and family that I'm the wicked mother that has destroyed her.""",I’m the wicked mother that has destroyed her/,2
“I know I need help but can’t afford specialists. I read ‘do this’ and ‘think that’….. if it was that easy I’d do it and think it… wrong side of 50 these days and the future is terrifying”,need help/ can’t afford/ future is terrifying/,3
"""I feel really hurt that I am always the one who is always making an effort to catch up and she doesn’t put any effort in.""",feel really hurt/ I am always the one who is always making an effort to catch up/,2
“I can take 2 sleeping pills and 2 melatonins and not get a single second of sleep.”,can take 2 sleeping pills and 2 melatonins/ not get a single second of sleep/,1
“My relationship between my husband and myself just deteriorated because I just didn’t want to be touched at all not even for a hug.”,relationship between my husband and myself just deteriorated/ ,2
"“Marriage becomes financially, emotionally, and physically abusive.”",physically abusive/,1
"“I don't trust anyone and I am devastated. Like in all wars, truth is the first casualty. Insensitivity is the next.”",Don’t trust anyone/,2
"""I'm on edge all the time overthinking what's happening to my kid.""",on edge all the time overthinking/,3
“The people I used to be close with have got busy lives and I feel like a burden when I talk to them.It's just me and my problems and my heavy heart”,Feel like a burden when I talk to them/ got busy lives/ my heavy heart/,2
“In the end he wasn’t even allowed to leave the house anymore. He had no access to the internet or literally anything. ”,wasn’t even allowed to leave the house/ had no access to the internet/,2
"“Marriage becomes financially, emotionally, and physically abusive.”","financially, emotionally, and physically abusive",2
"""Diagnosed at 30 with ADHD, OCD, Border insomnia, Anxiety, PTSD & Depression.""","Diagnosed with ADHD, OCD, Border insomnia, Anxiety, PTSD/ Depression/",1
"""I'm the only one in my friendship group that has lost a parent, let alone both... I find it hard to talk to my friends about this because they haven't experienced something similar.""",Find it hard to talk to my friends about this/ lost a parent/,2
“I’m kind of desperate for support.”,desperate for support/,2
"""I can't talk about it with anyone, my dad was borderline abusive so I've cut ties with him and the situation with my mother is barely better.""",Cant talk about it with anyone/dad was borderline abusive/ cut ties with him/ situation with my mother is barely better/ ,2
“I’m so sad and feel really alone.”,Really alone/,2
"My husband has been through hell and back with cancer, and continued health issues. The latest being coughing and snotting constantly - no end in sight - it’s been 5 months since it got bad.”",cancer and continued health issues/ coughing and snotting constantly/ no end in sight/ ,1
“I can't handle the stress anymore my health has gone to shit again!”,health has gone to shit again/,1
"""I try to sleep but keep waking up in the middle of the night, have difficulties falling asleep.”",Have difficulties falling asleep/,1
"""It's disorienting because I no longer care, which is unusual for me.""",disorienting/ no longer care/ unusual/,3
“I had so much planned and now I can’t even plan to get past the day.”,can't even plan to get past the day/,3
“I have this constant feeling of overwhelm and anxiety. Currently recovering from influenza A. I just want to feel normal again”,recovering from influenza/,1
"“now I feel more depressed than ever feel alone even though I have 2 kids and a husband. and really homesick.""",more depressed than ever/ really homesick/,3
"""Suicidal thought have been occurring more frequently over the past 4 months & I literally prepared to do it""",Suicidal thoughts/,3
"""the ONLY thing that has stopped me is what it will do to my parents. I recently found out dad has a heart condition. I know it would probably kill him if I was to follow through, which would absolutely destroy my mum.""",What it will do to my parents/ absolutely destroy my mother/,2
"“I’ve always struggled to make friends, and with the friends I do have I feel like a boring burden. Like I know they have chats and things without me. Anyway, I guess I feel like there’s nothing to like about me and more that I’m just not capable of connecting with people.”",Struggled to make friends/ feel like a boring burden/ there’s nothing to like about me/ just not capable of connecting with people/,2
"""She told me she can't do a relationship right now, that the depression is taking up all her energy and she isn't capable of supporting someone else's needs.""",Can’t do a relationship right now/ isn’t capable of supporting someone else’s needs/,2
"""She calls me weak, pathetic, needy, toxic and narcissistic, whilst letting me know that I've destroyed her life."" ","calls me weak, pathetic, needy, toxic and narcissistic/ ",2
